MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,TERRTYPO,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_ni,NAT,FR21,I551TOI553,2015,NCST_A,2601700,A,F,NR,
occ_ni,NAT,FR22,I551TOI553,2015,NCST_A,2736923,A,F,NR,
occ_ni,NAT,FR23,I551TOI553,2015,NCST_A,2577498,A,F,NR,
occ_ni,NAT,FR24,I551TOI553,2015,NCST_A,6931921,A,F,NR,
occ_ni,NAT,FR25,I551TOI553,2015,NCST_A,1639415,A,F,NR,
occ_ni,NAT,FR26,I551TOI553,2015,NCST_A,4221663,A,F,NR,
occ_ni,NAT,FR3,I551TOI553,2015,NCST_A,3779371,A,F,NR,
occ_ni,NAT,FR30,I551TOI553,2015,NCST_A,3779371,A,F,NR,
occ_ni,NAT,FR4,I551TOI553,2015,NCST_A,12843182,A,F,NR,
occ_ni,NAT,FR41,I551TOI553,2015,NCST_A,4610826,A,F,NR,
occ_ni,NAT,FR42,I551TOI553,2015,NCST_A,5373453,A,F,NR,
occ_ni,NAT,FR43,I551TOI553,2015,NCST_A,2858902,A,F,NR,
occ_ni,NAT,FR5,I551TOI553,2015,NCST_A,12707180,A,F,NR,
occ_ni,NAT,FR51,I551TOI553,2015,NCST_A,6549561,A,F,NR,
occ_ni,NAT,FR52,I551TOI553,2015,NCST_A,2542967,A,F,NR,
occ_ni,NAT,FR53,I551TOI553,2015,NCST_A,3614652,A,F,NR,
occ_ni,NAT,FR6,I551TOI553,2015,NCST_A,26076482,A,F,NR,
occ_ni,NAT,FR61,I551TOI553,2015,NCST_A,11155669,A,F,NR,
occ_ni,NAT,FR62,I551TOI553,2015,NCST_A,12838854,A,F,NR,
occ_ni,NAT,FR63,I551TOI553,2015,NCST_A,2081958,A,F,NR,
occ_ni,NAT,FR7,I551TOI553,2015,NCST_A,40141310,A,F,NR,
occ_ni,NAT,FR71,I551TOI553,2015,NCST_A,34421231,A,F,NR,
occ_ni,NAT,FR72,I551TOI553,2015,NCST_A,5720079,A,F,NR,
occ_ni,NAT,FR8,I551TOI553,2015,NCST_A,23472808,A,F,NR,
occ_ni,NAT,FR81,I551TOI553,2015,NCST_A,9043558,A,F,NR,
occ_ni,NAT,FR82,I551TOI553,2015,NCST_A,14207537,A,F,NR,
occ_ni,NAT,FR83,I551TOI553,2015,NCST_A,221713,A,F,NR,
occ_ni,NAT,FRA,I551TOI553,2015,NCST_A,152434,A,F,NR,
occ_ni,NAT,FRA1,I551TOI553,2015,NCST_A,0,A,F,NR,
occ_ni,NAT,FRA2,I551TOI553,2015,NCST_A,0,A,F,NR,
occ_ni,NAT,FRA3,I551TOI553,2015,NCST_A,42493,A,F,NR,
occ_ni,NAT,FRA4,I551TOI553,2015,NCST_A,109941,A,F,NR,
occ_ni,NAT,FRA5,I551TOI553,2015,NCST_A,0,A,F,NR,
occ_ni,NAT,FR,I552,2015,CST_A,26509364,A,F,NR,
occ_ni,NAT,FR,I552,2015,NCST_A,45037320,A,F,NR,
occ_ni,NAT,FR,I553,2015,CST_A,49340006,A,F,NR,
