MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,DEGURBA,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_ni,NAT,FR6,I551TOI553,2016,DEG2,8962800,A,F,NR,
occ_ni,NAT,FR61,I551TOI553,2016,DEG2,5727929,A,F,NR,
occ_ni,NAT,FR62,I551TOI553,2016,DEG2,3090011,A,F,NR,
occ_ni,NAT,FR7,I551TOI553,2016,DEG2,8336291,A,F,NR,
occ_ni,NAT,FR71,I551TOI553,2016,DEG2,7065564,A,F,NR,
occ_ni,NAT,FR72,I551TOI553,2016,DEG2,1270726,A,F,NR,
occ_ni,NAT,FR8,I551TOI553,2016,DEG2,20691954,A,F,NR,
occ_ni,NAT,FR81,I551TOI553,2016,DEG2,10325757,A,F,NR,
occ_ni,NAT,FR82,I551TOI553,2016,DEG2,9265401,A,F,NR,
occ_ni,NAT,FR83,I551TOI553,2016,DEG2,1100796,A,F,NR,
occ_ni,NAT,FRA,I551TOI553,2016,DEG2,1433833,A,F,NR,
occ_ni,NAT,FRA4,I551TOI553,2016,DEG2,684994,U,N,NR,
occ_ni,NAT,FR,I551TOI553,2016,DEG3,115743376,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2016,DEG3,2064668,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2016,DEG3,2064668,A,F,NR,
occ_ni,NAT,FR2,I551TOI553,2016,DEG3,11642424,A,F,NR,
occ_ni,NAT,FR21,I551TOI553,2016,DEG3,691854,A,F,NR,
occ_ni,NAT,FR22,I551TOI553,2016,DEG3,1882049,A,F,NR,
occ_ni,NAT,FR23,I551TOI553,2016,DEG3,1861029,A,F,NR,
occ_ni,NAT,FR24,I551TOI553,2016,DEG3,2805561,A,F,NR,
occ_ni,NAT,FR25,I551TOI553,2016,DEG3,2724137,A,F,NR,
occ_ni,NAT,FR26,I551TOI553,2016,DEG3,1677793,A,F,NR,
occ_ni,NAT,FR3,I551TOI553,2016,DEG3,798230,A,F,NR,
occ_ni,NAT,FR30,I551TOI553,2016,DEG3,798230,A,F,NR,
occ_ni,NAT,FR4,I551TOI553,2016,DEG3,4548941,A,F,NR,
occ_ni,NAT,FR41,I551TOI553,2016,DEG3,1602575,A,F,NR,
occ_ni,NAT,FR42,I551TOI553,2016,DEG3,1459978,A,F,NR,
occ_ni,NAT,FR43,I551TOI553,2016,DEG3,1486388,A,F,NR,
occ_ni,NAT,FR5,I551TOI553,2016,DEG3,25570395,A,F,NR,
occ_ni,NAT,FR51,I551TOI553,2016,DEG3,8367025,A,F,NR,
occ_ni,NAT,FR52,I551TOI553,2016,DEG3,9049282,A,F,NR,
occ_ni,NAT,FR53,I551TOI553,2016,DEG3,8154088,A,F,NR,
occ_ni,NAT,FR6,I551TOI553,2016,DEG3,21906512,A,F,NR,
occ_ni,NAT,FR61,I551TOI553,2016,DEG3,13682134,A,F,NR,
occ_ni,NAT,FR62,I551TOI553,2016,DEG3,7102416,A,F,NR,
occ_ni,NAT,FR63,I551TOI553,2016,DEG3,1121963,A,F,NR,
occ_ni,NAT,FR7,I551TOI553,2016,DEG3,23392428,A,F,NR,
occ_ni,NAT,FR71,I551TOI553,2016,DEG3,19954516,A,F,NR,
occ_ni,NAT,FR72,I551TOI553,2016,DEG3,3437912,A,F,NR,
occ_ni,NAT,FR8,I551TOI553,2016,DEG3,24395101,A,F,NR,
occ_ni,NAT,FR81,I551TOI553,2016,DEG3,9017123,A,F,NR,
occ_ni,NAT,FR82,I551TOI553,2016,DEG3,9919132,A,F,NR,
occ_ni,NAT,FR83,I551TOI553,2016,DEG3,5458846,A,F,NR,
occ_ni,NAT,FRA,I551TOI553,2016,DEG3,1424676,U,N,NR,
occ_ni,NAT,FRA5,I551TOI553,2016,DEG3,0,A,F,NR,
occ_ni,NAT,FR,I551,2016,DEG1,69991487,A,F,NR,
occ_ni,NAT,FR,I551,2016,DEG2,35868298,A,F,NR,
occ_ni,NAT,FR,I551,2016,DEG3,27771896,A,F,NR,
occ_ni,NAT,FR,I552,2016,DEG1,19388161,A,F,NR,
occ_ni,NAT,FR,I552,2016,DEG2,14173324,A,F,NR,
occ_ni,NAT,FR,I552,2016,DEG3,37428074,A,F,NR,
occ_ni,NAT,FR,I553,2016,DEG1,7829183,A,F,NR,
occ_ni,NAT,FR,I553,2016,DEG2,17856186,A,F,NR,
occ_ni,NAT,FR,I553,2016,DEG3,50543406,A,F,NR,
occ_ni,FOR,FR,I551TOI553,2016,DEG1,54614601,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2016,DEG1,30130828,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2016,DEG1,30130828,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2016,DEG1,3041204,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2016,DEG1,610343,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2016,DEG1,333181,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2016,DEG1,420880,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2016,DEG1,748679,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2016,DEG1,327905,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2016,DEG1,600217,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2016,DEG1,1519940,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2016,DEG1,1519940,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2016,DEG1,2750821,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2016,DEG1,424211,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2016,DEG1,2073078,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2016,DEG1,253531,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2016,DEG1,1734095,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2016,DEG1,616538,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2016,DEG1,661270,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2016,DEG1,456288,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2016,DEG1,2739775,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2016,DEG1,1603557,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2016,DEG1,1014639,A,F,NR,
occ_ni,FOR,FR63,I551TOI553,2016,DEG1,121578,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2016,DEG1,2552528,A,F,NR,
occ_ni,FOR,FR71,I551TOI553,2016,DEG1,2359262,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2016,DEG1,193266,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2016,DEG1,10065934,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2016,DEG1,2111850,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2016,DEG1,7836003,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2016,DEG1,118082,U,N,NR,
occ_ni,FOR,FRA1,I551TOI553,2016,DEG1,0,A,F,NR,
occ_ni,FOR,FRA3,I551TOI553,2016,DEG1,0,A,F,NR,
occ_ni,FOR,FR,I551TOI553,2016,DEG2,27387091,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2016,DEG2,6149065,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2016,DEG2,6149065,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2016,DEG2,2769705,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2016,DEG2,228511,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2016,DEG2,255703,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2016,DEG2,200409,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2016,DEG2,534696,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2016,DEG2,806277,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2016,DEG2,744108,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2016,DEG2,312552,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2016,DEG2,312552,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2016,DEG2,1235005,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2016,DEG2,552781,A,F,NR,
