MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,PARTNER,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_arr,FOR,FR,I552,2015,AFR_OTH,97964,A,F,NR,
occ_arr,FOR,FR,I552,2015,AME,276043,A,F,NR,
occ_arr,FOR,FR,I552,2015,AME_N,203777,A,F,NR,
occ_arr,FOR,FR,I552,2015,CA,31505,A,F,NR,
occ_arr,FOR,FR,I552,2015,US,172272,A,F,NR,
occ_arr,FOR,FR,I552,2015,AME_N_OTH,0,A,F,NR,
occ_arr,FOR,FR,I552,2015,AME_C_S,72266,A,F,NR,
occ_arr,FOR,FR,I552,2015,BR,0,A,F,NR,
occ_arr,FOR,FR,I552,2015,AME_C_S_OTH,72266,A,F,NR,
occ_arr,FOR,FR,I552,2015,ASI,480854,A,F,NR,
occ_arr,FOR,FR,I552,2015,CN,85184,A,F,NR,
occ_arr,FOR,FR,I552,2015,JP,48280,A,F,NR,
occ_arr,FOR,FR,I552,2015,KR,0,A,F,NR,
occ_arr,FOR,FR,I552,2015,ASI_OTH,347390,A,F,NR,
occ_arr,FOR,FR,I552,2015,OCE,27041,A,F,NR,
occ_arr,FOR,FR,I552,2015,AU,27041,A,F,NR,
occ_arr,FOR,FR,I552,2015,OCE_OTH,0,A,F,NR,
occ_arr,FOR,FR,I552,2015,WRL_NAL,2946,A,F,NR,
occ_arr,FOR,FR,I552,2015,WORLD,4301657,A,F,NR,
occ_arr,FOR,FR,I553,2015,EUR,7364539,A,F,NR,
occ_arr,FOR,FR,I553,2015,EU28,6944746,A,F,NR,
occ_arr,FOR,FR,I553,2015,BE,758139,A,F,NR,
occ_arr,FOR,FR,I553,2015,BG,1381,A,F,NR,
occ_arr,FOR,FR,I553,2015,CZ,22467,A,F,NR,
occ_arr,FOR,FR,I553,2015,DK,89600,A,F,NR,
occ_arr,FOR,FR,I553,2015,DE,1586894,A,F,NR,
occ_arr,FOR,FR,I553,2015,EE,746,A,F,NR,
occ_arr,FOR,FR,I553,2015,IE,58620,A,F,NR,
occ_arr,FOR,FR,I553,2015,EL,1037,A,F,NR,
occ_arr,FOR,FR,I553,2015,ES,275896,A,F,NR,
occ_arr,FOR,FR,I553,2015,HR,295,A,F,NR,
occ_arr,FOR,FR,I553,2015,IT,268363,A,F,NR,
occ_arr,FOR,FR,I553,2015,CY,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,LV,568,A,F,NR,
occ_arr,FOR,FR,I553,2015,LT,1399,A,F,NR,
occ_arr,FOR,FR,I553,2015,LU,10867,A,F,NR,
occ_arr,FOR,FR,I553,2015,HU,7401,A,F,NR,
occ_arr,FOR,FR,I553,2015,MT,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,NL,2374480,A,F,NR,
occ_arr,FOR,FR,I553,2015,AT,52152,A,F,NR,
occ_arr,FOR,FR,I553,2015,PL,20553,A,F,NR,
occ_arr,FOR,FR,I553,2015,PT,15103,A,F,NR,
occ_arr,FOR,FR,I553,2015,RO,3536,A,F,NR,
occ_arr,FOR,FR,I553,2015,SI,3982,A,F,NR,
occ_arr,FOR,FR,I553,2015,SK,2113,A,F,NR,
occ_arr,FOR,FR,I553,2015,FI,4156,A,F,NR,
occ_arr,FOR,FR,I553,2015,SE,17343,A,F,NR,
occ_arr,FOR,FR,I553,2015,UK,1367655,A,F,NR,
occ_arr,FOR,FR,I553,2015,EFTA,328386,A,F,NR,
occ_arr,FOR,FR,I553,2015,IS,380,A,F,NR,
occ_arr,FOR,FR,I553,2015,CH_LI,321352,A,F,NR,
occ_arr,FOR,FR,I553,2015,NO,6654,A,F,NR,
occ_arr,FOR,FR,I553,2015,TR,402,A,F,NR,
occ_arr,FOR,FR,I553,2015,RU,11831,A,F,NR,
occ_arr,FOR,FR,I553,2015,UA,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,EUR_OTH,79174,A,F,NR,
occ_arr,FOR,FR,I553,2015,AFR,3534,A,F,NR,
occ_arr,FOR,FR,I553,2015,ZA,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,AFR_OTH,3534,A,F,NR,
occ_arr,FOR,FR,I553,2015,AME,16836,A,F,NR,
occ_arr,FOR,FR,I553,2015,AME_N,14605,A,F,NR,
occ_arr,FOR,FR,I553,2015,CA,6663,A,F,NR,
occ_arr,FOR,FR,I553,2015,US,7942,A,F,NR,
occ_arr,FOR,FR,I553,2015,AME_N_OTH,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,AME_C_S,2231,A,F,NR,
occ_arr,FOR,FR,I553,2015,BR,0,A,F,NR,
occ_arr,FOR,FR,I553,2015,AME_C_S_OTH,2231,A,F,NR,
occ_arr,FOR,FR,I553,2015,ASI,17524,A,F,NR,
occ_arr,FOR,FR,I553,2015,CN,934,A,F,NR,
occ_arr,FOR,FR,I553,2015,JP,329,A,F,NR,
occ_arr,FOR,FR,I553,2015,KR,0,A,F,NR,
